Hospital_Name,OH_Region,Peer_Group,Reporting_Period,Indicator_Code,Avg_Hours,Patient_Volume,Pct_Within_Target,Target_Hours
Niagara Health - St. Catharines,West,Large Community,202412,WT_PHYS_ASSESS,2.27,4254,79.9,2.0
Kingston General Hospital,East,Teaching,202603,WT_PHYS_ASSESS,1.94,4159,86.4,2.0
Sunnybrook HSC,Toronto,Teaching,2025-10,WT_PHYS_ASSESS,2.55,5137,65.6,2.0
North York General,Toronto,Large Community,2026-03,LOS_HIGH_URGENCY,6.46,2225,92.2,8.0
Trillium Health Partners - Mississauga,Central,Large Community,7/2024,LOS_HIGH_URGENCY,7.75,1563,82.0,8.0
NYGH,Toronto,Large Community,4/2026,LOS_LOW_URGENCY,5.34,3373,65.7,4.0
St Catharines General,West,Large Community,2025-03,LOS_ADMITTED,13.43,1041,44.3,8.0
Unity Health - St. Michael's,Toronto,Teaching,2/2025,LOS_HIGH_URGENCY,8.12,1800,78.7%,8.0
Ottawa Hospital - Civic Campus,East,Teaching,2026-03-01,LOS_LOW_URGENCY,5.21,3104,63.4,4.0
KHSC,East,Teaching,2025-02-01,LOS_LOW_URGENCY,5.72,2851,59.9,4.0
Oak Valley Health - Markham,Central,Large Community,202505,WT_PHYS_ASSESS,2.5,3410,68.5,2.0
St. Michael's Hospital,Toronto,Teaching,202508,LOS_HIGH_URGENCY,8.71,2111,76.8,8.0
The Ottawa Hospital Civic,East,Teaching,8/2024,LOS_HIGH_URGENCY,6.44,2239,95.0,8.0
Grand River Hospital,West,Large Community,6/2026,LOS_ADMITTED,12.71,836,48.7,8.0
St. Michael's Hospital,Toronto,Teaching,2024-08,LOS_ADMITTED,16.38,957,25.0,8.0
North York General,Toronto,Large Community,2025-06-01,LOS_HIGH_URGENCY,6.9,1832,93.9,8.0
London Victoria Hospital,West,Teaching,3/2025,LOS_LOW_URGENCY,4.71,2918,76.9,4.0
TORONTO GENERAL,Toronto,Teaching,2026-04,LOS_ADMITTED,15.65,969,30.6,8.0
Sunnybrook Health Sciences Centre,Toronto,Teaching,2026-07-01,LOS_HIGH_URGENCY,6.49,1624,93.5,8.0
St Michaels Hospital,Toronto,Teaching,202511,WT_PHYS_ASSESS,2.23,5081,77.5,2.0
KHSC,East,Teaching,2025-05-01,LOS_ADMITTED,14.66,753,41.1,8.0
St. Michael's Hospital,Toronto,Teaching,202606,WT_PHYS_ASSESS,2.28,4946,78.6,2.0
Trillium Health Partners - Mississauga,Central,Large Community,2025-11,LOS_HIGH_URGENCY,7.23,2166,86.7,8.0
Niagara Health SCS,WEST,Large Community,2025-03-01,WT_PHYS_ASSESS,1.78,4573,86.3,2.0
RVH Barrie,Central,Large Community,202605,LOS_ADMITTED,13.39,1056,47.6,8.0
North York General,Toronto,Large Community,1/2026,LOS_HIGH_URGENCY,7.91,2220,82.9,8.0
The Ottawa Hospital Civic,East,Teaching,4/2025,LOS_ADMITTED,13.91,965,43.6,8.0
Mississauga Hospital,Central,Large Community,3/2025,LOS_ADMITTED,13.99,918,42.7,8.0
SUNNYBROOK,Toronto,Teaching,2024-10,WT_PHYS_ASSESS,2.06,4048,84.2,2.0
NYGH,Toronto,Large Community,7/2026,LOS_HIGH_URGENCY,6.64,1761,92.0,8.0
TBRHSC,North,Teaching,7/2026,LOS_ADMITTED,16.48,898,,8.0
HSN Sudbury,NORTH,Teaching,2025-02-01,WT_PHYS_ASSESS,2.48,4448,72.4,2.0
Sunnybrook HSC,Toronto,Teaching,202605,LOS_LOW_URGENCY,5.22,2805,67.1,4.0
Grand River Hospital,West,Large Community,2/2025,WT_PHYS_ASSESS,2.25,4296,78.7,2.0
Grand River Hosp,West,Large Community,2024-07,LOS_HIGH_URGENCY,7.17,2251,91.6,8.0
Markham Stouffville Hospital,Central,Large Community,2025-01-01,LOS_ADMITTED,14.72,1137,39.6,8.0
Ottawa Hospital - Civic Campus,East,Teaching,2/2026,los_admitted,17.55,861,25.0,8.0
Trillium Health Partners - Mississauga,Central,Large Community,2026-04,LOS_LOW_URGENCY,4.91,2923,70.7,4.0
Grand River Hosp,West,Large Community,202504,WT_PHYS_ASSESS,1.84,4139,87.3,2.0
Hamilton General,WEST,Teaching,202603,LOS_HIGH_URGENCY,7.03,1805,86.6,8.0
St Catharines General,West,Large Community,2026-05-01,LOS_HIGH_URGENCY,7.14,1673,88.9,8.0
Unity Health - St. Michael's,Toronto,Teaching,202510,LOS_LOW_URGENCY,6.52,2950,47.6,4.0
Grand River Hospital,West,Large Community,2024-12,LOS_HIGH_URGENCY,6.2,2203,95.0,8.0
SUNNYBROOK,Toronto,Teaching,202409,LOS_LOW_URGENCY,6.72,2630,47.7,4.0
North York General,Toronto,Large Community,7/2026,LOS_ADMITTED,16.85,970,25.6,8.0
Grand River Hospital,West,Large Community,2025-02-01,LOS_HIGH_URGENCY,8.64,1960,80.2,8.0
Oshawa General,Central,Large Community,202411,WT_PHYS_ASSESS,1.95,4925,83.0,2.0
Peterborough Regional Health Centre,East,Large Community,2024-10-01,LOS_HIGH_URGENCY,6.59,1645,92.8,8.0
London Victoria Hospital,West,Teaching,2025-11,LOS_HIGH_URGENCY,6.09,2070,95.0,8.0
Oshawa General,Central,Large Community,2026-01-01,LOS_LOW_URGENCY,5.88,2589,59.6,4.0
KHSC,East,Teaching,2026-06-01,LOS_ADMITTED,12.14,707,57.2,8.0
North York General,Toronto,Large Community,2025-02-01,WT_PHYS_ASSESS,2.89,5843,56.4,2.0
Scarborough General,Toronto,Large Community,2025-01,LOS_ADMITTED,19.21,1080,25.0,8.0
TOH Civic,East,Teaching,202408,WT_PHYS_ASSESS,2.16,4398,82.9,2.0
Windsor Ouellette Campus,West,Large Community,202412,LOS_HIGH_URGENCY,-1.0,2262,95.0,8.0
Unity Health - St. Michael's,Toronto,Teaching,2025-07,WT_PHYS_ASSESS,2.39,4639,71.7,2.0
Peterborough Regional Health Centre,East,Large Community,2025-01-01,LOS_HIGH_URGENCY,6.48,2441,94.9,8.0
North York General Hospital,Toronto,Large Community,2025-09-01,LOS_ADMITTED,18.34,998,25.0,8.0
Scarborough General,Toronto,Large Community,3/2025,LOS_LOW_URGENCY,5.48,2741,66.4,4.0
Health Sciences North,North,Teaching,2025-01,LOS_HIGH_URGENCY,9.11,1969,74.5,8.0
Peterborough Regional Health Centre,East,Large Community,2025-08-01,LOS_HIGH_URGENCY,6.08,2254,94.1,8.0
Windsor Regional Hospital - Ouellette,West,Large Community,11/2024,WT_PHYS_ASSESS,2.08,4568,84.8,2.0
Thunder Bay Regional,North,Teaching,10/2024,LOS_LOW_URGENCY,4.5,3050,,4.0
St Michaels Hospital,Toronto,Teaching,2026-07-01,LOS_HIGH_URGENCY,7.67,2246,88.6,8.0
Oshawa General,Central,Large Community,202605,LOS_ADMITTED,16.87,853,25.0,8.0
TORONTO GENERAL,Toronto,Teaching,2026-06-01,WT_PHYS_ASSESS,2.66,3951,64.1,2.0
Royal Victoria Regional Health Centre,Central,Large Community,10/2024,LOS_HIGH_URGENCY,5.99,1690,94.1,8.0
London Health Sciences Centre - Victoria,West,Teaching,202410,LOS_HIGH_URGENCY,6.0,1963,94.1,8.0
North York General Hospital,Toronto,Large Community,1/2025,LOS_LOW_URGENCY,6.48,3626,50.2,4.0
Toronto General Hospital,TORONTO,Teaching,4/2025,LOS_ADMITTED,17.54,888,25.0,8.0
Royal Victoria Regional Health Centre,Central,Large Community,11/2025,LOS_HIGH_URGENCY,6.4,1645,93.3,8.0
LHSC Victoria,West,Teaching,202512,LOS_LOW_URGENCY,6.18,3121,54.9,4.0
London Victoria Hospital,West,Teaching,5/2025,LOS_ADMITTED,16.1,922,25.8,8.0
RVH Barrie,Central,Large Community,202412,LOS_HIGH_URGENCY,6.86,2284,93.4,8.0
Royal Victoria Regional Health Centre,Central,Large Community,202510,LOS_ADMITTED,17.47,1082,25.0,8.0
Peterborough Regional Health Centre,East,Large Community,202506,WT_PHYS_ASSESS,1.94,3530,87.9,2.0
Grand River Hospital,West,Large Community,202409,LOS_HIGH_URGENCY,6.62,2045,92.1,8.0
St Catharines General,West,Large Community,2025-09-01,WT_PHYS_ASSESS,2.01,3582,87.2,2.0
Lakeridge Oshawa,Central,Large Community,7/2025,LOS_LOW_URGENCY,5.27,3274,62.5,4.0
Scarborough Health Network - General,Toronto,Large Community,202502,WT_PHYS_ASSESS,2.64,5409,67.1,2.0
St Catharines General,West,Large Community,202505,LOS_LOW_URGENCY,4.6,3307,78.2,4.0
WRH Ouellette,West,Large Community,202407,wt_phys_assess,1.82,4070,86.1,2.0
William Osler Health System - Brampton Civic,Central,Large Community,2024-12,LOS_ADMITTED,14.3,1114,42.4,8.0
Health Sciences North,North,Teaching,2026-03,LOS_ADMITTED,15.31,1060,32.3,8.0
Grand River Hospital,West,Large Community,7/2025,LOS_HIGH_URGENCY,6.81,1511,88.3,8.0
Thunder Bay Regional,North,Teaching,6/2026,WT_PHYS_ASSESS,2.21,4221,73.6,2.0
Hamilton Health Sciences - General,West,Teaching,202502,WT_PHYS_ASSESS,2.25,4378,78.4,2.0
Mississauga Hospital,Central,Large Community,2025-05-01,wt_phys_assess,2.08,4654,80.5,2.0
THP Mississauga,Central,Large Community,2024-12,wt_phys_assess,2.01,5770,83.4,2.0
Scarborough Health Network - General,Toronto,Large Community,2024-11-01,WT_PHYS_ASSESS,2.15,3795,80.8,2.0
SUNNYBROOK,Toronto,Teaching,2/2025,WT_PHYS_ASSESS,2.76,4605,60.2,2.0
Brampton Civic Hospital,Central,Large Community,202505,WT_PHYS_ASSESS,2.25,3709,78.2,2.0
Sunnybrook HSC,Toronto,Teaching,2025-06-01,LOS_HIGH_URGENCY,7.92,2233,81.4,8.0
Thunder Bay Regional,North,Teaching,2025-04-01,LOS_ADMITTED,18.12,1106,25.0,8.0
PRHC,East,Large Community,7/2024,WT_PHYS_ASSESS,2.05,4563,83.8,2.0
Osler Brampton Civic,Central,Large Community,2025-05,los_low_urgency,5.15,3081,70.1,4.0
Kingston General Hospital,East,Teaching,202502,LOS_HIGH_URGENCY,,2030,91.0,8.0
THP Mississauga,Central,Large Community,202504,LOS_HIGH_URGENCY,7.5,2282,90.1,8.0
Peterborough Regional,East,Large Community,2025-11-01,WT_PHYS_ASSESS,1.94,4578,87.5,2.0
Royal Victoria Regional Health Centre,Central,Large Community,2024-08,los_admitted,16.18,784,28.1,8.0
UHN - Toronto General,Toronto,Teaching,202503,LOS_LOW_URGENCY,6.06,2646,56.5,4.0
The Ottawa Hospital Civic,East,Teaching,2025-05,LOS_ADMITTED,16.67,1028,26.0,8.0
TOH Civic,East,Teaching,202411,LOS_HIGH_URGENCY,7.59,1541,85.9,8.0
Oak Valley Health - Markham,Central,Large Community,2024-12,LOS_LOW_URGENCY,4.86,2896,69.8,4.0
Royal Victoria Regional Health Centre,Central,Large Community,2025-03-01,LOS_ADMITTED,13.42,1006,46.7,8.0
Mississauga Hospital,Central,Large Community,2025-10,LOS_HIGH_URGENCY,7.34,1531,90.0%,8.0
Hamilton General,West,Teaching,6/2025,LOS_HIGH_URGENCY,7.17,1493,91.7,8.0
Toronto General Hosp.,Toronto,Teaching,1/2026,LOS_ADMITTED,19.8,1117,25.0,8.0
Thunder Bay Regional,North,Teaching,2024-07,LOS_HIGH_URGENCY,6.33,2112,95.0%,8.0
KHSC,East,Teaching,2024-10-01,WT_PHYS_ASSESS,2.49,4271,72.7,2.0
Kingston Health Sciences Centre,EAST,Teaching,3/2025,LOS_LOW_URGENCY,5.62,3440,,4.0
St Michaels Hospital,Toronto,Teaching,202505,WT_PHYS_ASSESS,2.35,3452,76.7,2.0
Niagara Health SCS,West,Large Community,202602,WT_PHYS_ASSESS,2.17,5464,79.9,2.0
Thunder Bay Regional,North,Teaching,10/2024,LOS_HIGH_URGENCY,7.06,2142,86.9,8.0
UHN - Toronto General,Toronto,Teaching,202412,wt_phys_assess,2.81,4869,59.5,2.0
Windsor Ouellette Campus,West,Large Community,202601,WT_PHYS_ASSESS,2.47,5341,74.5,2.0
Scarborough General,Toronto,Large Community,2025-06-01,LOS_ADMITTED,13.75,816,41.4,8.0
North York General,Toronto,Large Community,202503,LOS_HIGH_URGENCY,7.02,1779,86.6,8.0
KHSC,East,Teaching,11/2024,LOS_LOW_URGENCY,-1.0,3118,95.0,4.0
NYGH,Toronto,Large Community,2026-06-01,LOS_HIGH_URGENCY,6.87,2136,92.1,8.0
Unity Health - St. Michael's,Toronto,Teaching,2025-04-01,LOS_ADMITTED,19.37,756,25.0,8.0
London Victoria Hospital,West,Teaching,202604,WT_PHYS_ASSESS,2.2,5238,76.0,2.0
Markham Stouffville Hospital,Central,Large Community,2025-04-01,WT_PHYS_ASSESS,2.2,3623,76.4,2.0
St Catharines General,West,Large Community,3/2025,LOS_LOW_URGENCY,4.45,2379,73.5,4.0
Kingston General Hospital,East,Teaching,202504,WT_PHYS_ASSESS,1.96,4222,88.6,2.0
Kingston Health Sciences Centre,East,Teaching,2024-07-01,LOS_ADMITTED,15.26,923,37.3,8.0
Toronto General Hosp.,Toronto,Teaching,2024-10,LOS_HIGH_URGENCY,6.92,2319,88.4,8.0
Sunnybrook HSC,Toronto,Teaching,202510,LOS_ADMITTED,17.02,927,25.0,8.0
Scarborough Health Network - General,Toronto,Large Community,2026-04-01,LOS_LOW_URGENCY,4.64,3079,77.1,4.0
Markham Stouffville Hospital,Central,Large Community,2025-10-01,LOS_ADMITTED,15.82,1120,32.2,8.0
Royal Victoria Regional Health Centre,Central,Large Community,2025-05,LOS_LOW_URGENCY,4.61,3195,75.1,4.0
NYGH,Toronto,Large Community,2/2025,LOS_HIGH_URGENCY,8.72,2456,78.9,8.0
North York General Hospital,Toronto,Large Community,2025-11,LOS_HIGH_URGENCY,7.8,2001,84.0,8.0
SUNNYBROOK,Toronto,Teaching,2024-12,LOS_LOW_URGENCY,6.22,2986,52.9,4.0
London Victoria Hospital,West,Teaching,202504,LOS_HIGH_URGENCY,6.49,2342,95.0,8.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,3/2025,WT_PHYS_ASSESS,2.36,4193,70.5,2.0
London Health Sciences Centre - Victoria,West,Teaching,202501,LOS_HIGH_URGENCY,8.09,1843,83.9,8.0
TORONTO GENERAL,Toronto,Teaching,2025-02,LOS_LOW_URGENCY,6.32,3893,49.0,4.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,2026-04-01,LOS_HIGH_URGENCY,7.49,1607,89.6,8.0
THP Mississauga,Central,Large Community,202512,LOS_ADMITTED,,1257,41.3,8.0
Sunnybrook HSC,Toronto,Teaching,2026-02,LOS_LOW_URGENCY,6.28,3684,54.3,4.0
Health Sciences North,North,Teaching,1/2025,los_admitted,15.46,812,33.9,8.0
Oak Valley Health - Markham,Central,Large Community,2024-08,WT_PHYS_ASSESS,2.03,4821,84.4,2.0
Royal Victoria Barrie,Central,Large Community,2025-12,LOS_HIGH_URGENCY,8.55,1863,80.1,8.0
Hamilton Health Sciences - General,West,Teaching,202503,LOS_ADMITTED,17.99,1016,25.0,8.0
North York General,Toronto,Large Community,2025-07-01,LOS_ADMITTED,15.76,1037,30.9,8.0
SUNNYBROOK,Toronto,Teaching,2025-12,LOS_HIGH_URGENCY,8.18,2235,81.7,8.0
Mississauga Hospital,Central,Large Community,202511,LOS_LOW_URGENCY,5.7,3054,62.3,4.0
Thunder Bay Regional,North,Teaching,2025-01,wt_phys_assess,2.4,4729,72.6,2.0
THP Mississauga,Central,Large Community,2026-03,WT_PHYS_ASSESS,1.85,5064,91.1,2.0
SHN General,Toronto,Large Community,2026-07,LOS_ADMITTED,14.23,921,42.5,8.0
Trillium Health Partners - Mississauga,Central,Large Community,2025-04-01,WT_PHYS_ASSESS,2.22,4502,80.6,2.0
HHS General Site,West,Teaching,3/2025,LOS_LOW_URGENCY,5.11,2989,69.9,4.0
Windsor Ouellette Campus,West,Large Community,202505,LOS_HIGH_URGENCY,,2198,95.0,8.0
Hamilton Health Sciences - General,West,Teaching,2026-04-01,LOS_ADMITTED,,911,38.9,8.0
Osler Brampton Civic,Central,Large Community,202507,LOS_HIGH_URGENCY,7.68,2035,85.7,8.0
PRHC,East,Large Community,202508,LOS_LOW_URGENCY,4.88,3073,74.4,4.0
KHSC,East,Teaching,202603,LOS_ADMITTED,17.06,795,25.1,8.0
Royal Victoria Barrie,Central,Large Community,2024-09,LOS_ADMITTED,15.85,856,30.4,8.0
Oshawa General,Central,Large Community,12/2024,LOS_HIGH_URGENCY,9.08,2214,79.6,8.0
GRH Kitchener,West,Large Community,10/2025,LOS_LOW_URGENCY,4.57,3477,78.6,4.0
Scarborough General,Toronto,Large Community,2025-12,LOS_ADMITTED,15.69,1046,31.9,8.0
UHN - Toronto General,Toronto,Teaching,2026-07-01,LOS_LOW_URGENCY,4.81,2939,71.5%,4.0
The Ottawa Hospital Civic,East,Teaching,202606,LOS_HIGH_URGENCY,6.61,1570,95.0,8.0
Peterborough Regional,East,Large Community,202411,WT_PHYS_ASSESS,2.27,4062,73.9,2.0
Hamilton Health Sciences - General,West,Teaching,2025-08,WT_PHYS_ASSESS,2.05,4664,82.8,2.0
St Michaels Hospital,Toronto,Teaching,2025-08-01,LOS_LOW_URGENCY,5.21,3096,64.0,4.0
Unity Health - St. Michael's,Toronto,Teaching,202408,WT_PHYS_ASSESS,2.59,4300,68.1,2.0
HHS General Site,West,Teaching,2025-11,LOS_HIGH_URGENCY,6.15,2184,93.7,8.0
Peterborough Regional Health Centre,East,Large Community,1/2025,LOS_ADMITTED,14.1,1240,40.4,8.0
Sunnybrook HSC,Toronto,Teaching,202409,LOS_HIGH_URGENCY,7.71,1829,83.0,8.0
RVH Barrie,Central,Large Community,2026-03-01,LOS_HIGH_URGENCY,7.25,1908,87.3,8.0
St Catharines General,West,Large Community,2025-11-01,LOS_HIGH_URGENCY,7.06,1725,,8.0
Windsor Regional Hospital - Ouellette,West,Large Community,6/2026,LOS_LOW_URGENCY,5.21,2176,64.3%,4.0
Hamilton Health Sciences - General,West,Teaching,4/2026,LOS_LOW_URGENCY,5.55,3469,60.4,4.0
Sunnybrook HSC,Toronto,Teaching,2025-04,LOS_HIGH_URGENCY,8.51,2147,80.1,8.0
Lakeridge Health - Oshawa,Central,Large Community,12/2025,LOS_HIGH_URGENCY,8.26,1809,78.3,8.0
Mississauga Hospital,Central,Large Community,2026-03-01,LOS_ADMITTED,16.01,954,28.8,8.0
Markham Stouffville Hospital,Central,Large Community,5/2026,LOS_LOW_URGENCY,5.29,3201,62.8,4.0
Lakeridge Oshawa,Central,Large Community,2025-12-01,LOS_LOW_URGENCY,5.42,2970,66.0,4.0
GRH Kitchener,West,Large Community,202502,LOS_ADMITTED,17.53,1043,,8.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,2024-12,LOS_LOW_URGENCY,5.45,3684,66.3,4.0
Peterborough Regional Health Centre,East,Large Community,2025-03-01,LOS_ADMITTED,14.61,784,36.2,8.0
Sudbury Regional Hospital,North,Teaching,2025-06,LOS_ADMITTED,15.36,1023,29.4,8.0
Mississauga Hospital,Central,Large Community,2024-07-01,WT_PHYS_ASSESS,2.34,4450,77.1,2.0
WRH Ouellette,West,Large Community,202506,LOS_ADMITTED,14.56,874,41.4,8.0
TOH Civic,East,Teaching,202412,WT_PHYS_ASSESS,2.6,5829,,2.0
Peterborough Regional Health Centre,East,Large Community,3/2026,LOS_ADMITTED,,871,44.5,8.0
Osler Brampton Civic,Central,Large Community,2025-07-01,WT_PHYS_ASSESS,2.39,4222,70.7,2.0
St Catharines General,West,Large Community,2026-06-01,LOS_HIGH_URGENCY,6.76,1663,91.6,8.0
Grand River Hospital,West,Large Community,2026-05,LOS_LOW_URGENCY,4.15,2277,82.8,4.0
Markham Stouffville,Central,Large Community,2025-06,LOS_LOW_URGENCY,4.96,2587,71.0,4.0
Niagara Health - St. Catharines,West,Large Community,2024-11-01,LOS_HIGH_URGENCY,5.95,1861,95.0,8.0
Royal Victoria Barrie,Central,Large Community,2025-08,LOS_HIGH_URGENCY,7.73,1930,83.9,8.0
Peterborough Regional,East,Large Community,202509,WT_PHYS_ASSESS,2.19,3380,76.1,2.0
Grand River Hosp,West,Large Community,2025-06-01,LOS_HIGH_URGENCY,6.76,2215,93.7,8.0
Toronto General Hosp.,Toronto,Teaching,202607,WT_PHYS_ASSESS,2.04,4546,82.2,2.0
RVH Barrie,Central,Large Community,202506,WT_PHYS_ASSESS,1.79,4082,89.4,2.0
Peterborough Regional,East,Large Community,5/2025,LOS_ADMITTED,-1.0,1072,95.0,8.0
London Victoria Hospital,West,Teaching,2026-07,LOS_HIGH_URGENCY,7.03,1960,93.9,8.0
PRHC,East,Large Community,202602,LOS_HIGH_URGENCY,7.07,2208,92.6,8.0
Kingston Health Sciences Centre,East,Teaching,2025-05-01,WT_PHYS_ASSESS,2.17,3867,76.6,2.0
Markham Stouffville,Central,Large Community,2/2025,LOS_HIGH_URGENCY,8.34,1865,78.9,8.0
William Osler Health System - Brampton Civic,Central,Large Community,2025-05,LOS_ADMITTED,17.14,923,25.0,8.0
KHSC,East,Teaching,202411,LOS_HIGH_URGENCY,7.81,2054,81.1,8.0
Osler Brampton Civic,Central,Large Community,11/2024,LOS_LOW_URGENCY,4.66,2740,71.2,4.0
Toronto General Hospital,Toronto,Teaching,5/2025,LOS_LOW_URGENCY,6.52,3398,45.5,4.0
Scarborough Health Network - General,Toronto,Large Community,202407,WT_PHYS_ASSESS,1.86,4070,84.9,2.0
Hamilton General,West,Teaching,5/2025,LOS_LOW_URGENCY,5.65,3134,58.9,4.0
THP Mississauga,Central,Large Community,202601,LOS_HIGH_URGENCY,7.87,2300,82.5,8.0
Kingston Health Sciences Centre,East,Teaching,202506,LOS_ADMITTED,14.28,1046,39.3,8.0
Unity Health - St. Michael's,Toronto,Teaching,202511,LOS_LOW_URGENCY,6.09,2898,55.4,4.0
TORONTO GENERAL,Toronto,Teaching,3/2026,LOS_HIGH_URGENCY,8.53,2277,76.1,8.0
Niagara Health - St. Catharines,West,Large Community,5/2025,LOS_ADMITTED,14.61,918,38.5,8.0
Grand River Hosp,West,Large Community,202409,LOS_ADMITTED,12.88,858,48.8,8.0
Oshawa General,Central,Large Community,2024-12,WT_PHYS_ASSESS,2.47,5354,71.1,2.0
Ottawa Hospital - Civic Campus,East,Teaching,202509,WT_PHYS_ASSESS,1.95,4749,87.6,2.0
SHN General,Toronto,Large Community,7/2026,LOS_LOW_URGENCY,5.94,2785,56.3,4.0
Kingston General Hospital,East,Teaching,2026-06,LOS_LOW_URGENCY,5.68,3045,62.4,4.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,2025-04-01,LOS_HIGH_URGENCY,8.06,2142,81.7,8.0
North York General Hospital,Toronto,Large Community,1/2026,WT_PHYS_ASSESS,2.11,4831,83.2,2.0
SUNNYBROOK,Toronto,Teaching,2026-07,LOS_LOW_URGENCY,5.08,2923,70.1,4.0
Windsor Ouellette Campus,West,Large Community,7/2024,LOS_ADMITTED,15.44,737,31.0,8.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,2025-07,LOS_ADMITTED,14.62,724,37.5,8.0
London Victoria Hospital,West,Teaching,202408,los_admitted,14.5,1005,42.7,8.0
North York General,Toronto,Large Community,3/2026,WT_PHYS_ASSESS,1.98,4703,83.0,2.0
Scarborough Health Network - General,Toronto,Large Community,5/2026,LOS_HIGH_URGENCY,7.84,1584,83.8,8.0
St Michaels Hospital,Toronto,Teaching,2025-01-01,LOS_ADMITTED,20.89,1190,25.0,8.0
Trillium Health Partners - Mississauga,Central,Large Community,2024-08-01,WT_PHYS_ASSESS,2.3,4359,72.2,2.0
The Ottawa Hospital Civic,East,Teaching,202601,LOS_ADMITTED,14.42,828,36.3%,8.0
Grand River Hosp,West,Large Community,202604,WT_PHYS_ASSESS,2.36,4729,76.9,2.0
North York General,Toronto,Large Community,202502,LOS_ADMITTED,19.08,1254,25.0%,8.0
Health Sciences North,North,Teaching,9/2025,WT_PHYS_ASSESS,2.09,5166,80.7,2.0
LHSC Victoria,West,Teaching,2025-05,LOS_LOW_URGENCY,6.05,2494,56.6,4.0
TBRHSC,North,Teaching,202604,LOS_ADMITTED,15.49,1002,31.2,8.0
Royal Victoria Barrie,Central,Large Community,2026-03-01,LOS_ADMITTED,13.67,863,41.3,8.0
Oshawa General,Central,Large Community,2025-08,LOS_HIGH_URGENCY,5.61,2010,95.0,8.0
GRH Kitchener,West,Large Community,2025-08-01,LOS_HIGH_URGENCY,6.62,1516,93.5,8.0
Peterborough Regional,East,Large Community,3/2025,LOS_LOW_URGENCY,4.3,2802,78.6,4.0
Niagara Health SCS,West,Large Community,202506,LOS_ADMITTED,14.29,920,41.1,8.0
UHN - Toronto General,Toronto,Teaching,9/2025,LOS_ADMITTED,17.87,1080,25.0,8.0
Trillium Health Partners - Mississauga,Central,Large Community,2024-12,LOS_HIGH_URGENCY,9.08,2348,75.0,8.0
NYGH,Toronto,Large Community,202602,LOS_ADMITTED,17.04,1038,25.0,8.0
St. Michael's Hospital,Toronto,Teaching,5/2026,LOS_ADMITTED,14.36,992,43.4,8.0
Unity Health - St. Michael's,Toronto,Teaching,202502,WT_PHYS_ASSESS,2.92,5248,56.2,2.0
St. Michael's Hospital,Toronto,Teaching,2024-08-01,LOS_LOW_URGENCY,5.92,2739,57.0,4.0
Sunnybrook Health Sciences Centre,Toronto,Teaching,202510,LOS_LOW_URGENCY,6.45,3280,50.0,4.0
GRH Kitchener,West,Large Community,202510,LOS_ADMITTED,15.7,869,29.2,8.0
KHSC,East,Teaching,2026-02,LOS_LOW_URGENCY,5.71,2869,61.1,4.0
Grand River Hosp,West,Large Community,202503,WT_PHYS_ASSESS,1.9,4890,86.9,2.0
Peterborough Regional,East,Large Community,2025-04-01,LOS_LOW_URGENCY,4.97,3043,72.1,4.0
Thunder Bay Regional,North,Teaching,10/2025,LOS_ADMITTED,13.85,881,,8.0
LHSC Victoria,West,Teaching,2025-05-01,LOS_HIGH_URGENCY,6.1,2286,95.0,8.0
Oak Valley Health - Markham,Central,Large Community,2025-07-01,LOS_HIGH_URGENCY,5.56,2215,95.0,8.0
TBRHSC,North,Teaching,1/2026,LOS_LOW_URGENCY,6.92,3857,43.2,4.0
RVH Barrie,Central,Large Community,202410,LOS_ADMITTED,14.76,795,41.0,8.0
Hamilton Health Sciences - General,West,Teaching,2025-11-01,WT_PHYS_ASSESS,1.88,4482,88.5,2.0
Oshawa General,Central,Large Community,202411,LOS_ADMITTED,12.77,788,50.7,8.0
Hamilton Health Sciences - General,WEST,Teaching,2/2025,LOS_LOW_URGENCY,-1.0,3408,95.0,4.0
Kingston Health Sciences Centre,East,Teaching,202504,LOS_HIGH_URGENCY,6.56,1647,95.0,8.0
WRH Ouellette,West,Large Community,2026-02-01,LOS_HIGH_URGENCY,7.77,2125,87.4,8.0
The Ottawa Hospital Civic,East,Teaching,202602,LOS_HIGH_URGENCY,6.64,2143,92.0,8.0
GRH Kitchener,West,Large Community,2024-09,LOS_LOW_URGENCY,5.51,2244,66.4,4.0
THP Mississauga,Central,Large Community,202407,LOS_ADMITTED,16.85,925,25.0,8.0
PRHC,East,Large Community,9/2025,LOS_ADMITTED,12.21,992,56.5,8.0
Scarborough Health Network - General,Toronto,Large Community,2026-01-01,LOS_ADMITTED,-1.0,845,95.0,8.0
St Michaels Hospital,Toronto,Teaching,12/2025,LOS_ADMITTED,21.51,1035,25.0,8.0
TORONTO GENERAL,Toronto,Teaching,2026-02-01,LOS_HIGH_URGENCY,8.13,2492,85.0,8.0
Trillium Health Partners - Mississauga,Central,Large Community,2025-01,LOS_LOW_URGENCY,5.5,2516,62.4,4.0
Niagara Health SCS,West,Large Community,12/2024,LOS_HIGH_URGENCY,7.13,1941,91.7,8.0
